sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.067;1.797;9.7795;-0.0845;1.7724;9.6448;0.0166;-0.0078;0.0048;9.0E-4;0.0014;-6.0E-4;729.0;117.8;32.53;-51.71;289.67;-10.38;0.52;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;5019;2018-03-07 17:31:21:476
-0.0694;1.7922;9.7819;-0.0859;1.7734;9.6446;-5.0E-4;-0.0057;-0.0127;-3.0E-4;2.0E-4;-6.0E-4;728.0;117.6;32.14;-51.62;289.26;-10.4;0.52;8.0;993.92;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;5519;2018-03-07 17:31:21:976
-0.0502;1.7803;9.7747;-0.0791;1.7709;9.6451;0.0214;-0.0072;-0.0074;7.0E-4;-0.001;-0.001;727.0;118.0;32.11;-48.15;289.51;-10.41;0.48;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;6020;2018-03-07 17:31:22:477
-0.1555;1.6199;10.0235;-0.071;1.7784;9.6438;-0.0714;-0.056;0.1339;7.0E-4;-0.0012;-0.0026;728.0;117.57;31.0;-43.9;288.17;-10.45;0.42;8.0;993.92;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;6519;2018-03-07 17:31:22:976
-0.079;1.8377;9.7555;-0.0694;1.7784;9.6438;-0.0185;0.0266;-0.02;1.0E-4;-6.0E-4;-0.0014;726.0;117.52;31.61;-45.12;288.65;-10.4;0.37;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;7019;2018-03-07 17:31:23:476
-0.0742;1.8018;9.7867;-0.0551;1.7763;9.6443;0.0029;-0.0107;0.0288;0.0019;-0.001;-0.0042;726.0;118.22;30.43;-42.21;287.56;-10.44;0.36;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;7520;2018-03-07 17:31:23:977
-0.0311;1.8042;9.7077;-0.0605;1.7814;9.6433;0.0427;-0.0052;-0.0465;-1.0E-4;-6.0E-4;0.0;725.0;117.88;30.63;-42.56;288.09;-10.46;0.41;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;8020;2018-03-07 17:31:24:477
-0.2225;1.3998;9.801;-0.0971;1.7142;9.6552;-0.1838;-0.3284;0.0771;-0.0089;0.0104;0.0141;725.0;118.35;29.99;-42.54;287.6;-10.19;0.49;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;8519;2018-03-07 17:31:24:976
-0.2177;1.5099;9.8297;-0.2355;1.5394;9.6822;-0.1009;-0.1464;0.0443;-0.0011;0.0126;0.0611;725.0;118.04;31.26;-44.82;288.1;-9.49;0.96;8.0;993.94;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;9019;2018-03-07 17:31:25:476
-0.1651;1.529;9.8058;-0.275;1.5033;9.6868;0.1049;0.0114;-0.0052;-0.0011;0.0195;0.109;725.0;118.48;32.75;-46.14;289.0;-8.82;1.63;8.0;993.94;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;9520;2018-03-07 17:31:25:977
-0.1125;1.5386;9.7867;-0.1906;1.5002;9.6893;0.1052;-0.0284;-0.0143;-0.0023;0.0297;0.1468;725.0;118.7;32.78;-47.71;288.92;-8.85;1.32;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;10020;2018-03-07 17:31:26:477
-0.0431;1.5936;9.7962;-0.1486;1.5089;9.6887;0.1215;0.0236;-0.009;-0.0022;0.0344;0.1737;726.0;119.69;34.57;-48.94;289.59;-8.83;0.96;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;10520;2018-03-07 17:31:26:977
0.0957;1.8018;9.7316;-0.0847;1.5502;9.683;0.1543;0.2707;-0.0798;0.0034;0.0391;0.1808;727.0;120.57;36.14;-48.07;289.95;-9.02;0.5;8.0;993.92;62.416;44.567577;-123.2747;126.03;NaN;;2.38;6.068;296.8;12 / 21;11019;2018-03-07 17:31:27:476
0.1125;1.7157;9.7077;0.0181;1.674;9.6627;0.0684;0.0774;-0.0412;0.0013;0.0368;0.181;728.0;120.84;37.05;-49.48;290.29;-9.73;-0.02;8.0;993.92;62.416;44.567577;-123.2747;126.03;NaN;;2.38;6.068;296.8;12 / 21;11519;2018-03-07 17:31:27:976
0.1268;1.7874;9.6;0.0737;1.723;9.6538;0.0757;0.0316;-0.0058;0.0048;0.0381;0.1743;729.0;121.88;37.82;-49.23;290.7;-9.97;-0.27;8.0;993.93;62.416;44.567577;-123.2747;125.35;NaN;;2.95;6.068;296.5;12 / 21;12020;2018-03-07 17:31:28:477
0.1388;1.7898;9.7388;0.0701;1.7543;9.6482;0.0858;0.0738;0.0378;0.0025;0.0364;0.1698;730.0;123.22;38.93;-49.16;290.85;-10.31;-0.42;8.0;993.94;62.416;44.567577;-123.2747;125.35;NaN;;2.95;6.068;296.5;12 / 21;12520;2018-03-07 17:31:28:977
0.2489;2.2253;9.6407;0.1909;1.9656;9.6058;0.1476;0.2187;-0.1168;0.0034;0.0267;0.1379;730.0;124.0;39.4;-51.01;291.02;-10.97;-0.74;8.0;993.92;62.416;44.567577;-123.2747;125.23;NaN;;2.59;6.068;296.2;12 / 21;13020;2018-03-07 17:31:29:477
0.536;2.4742;9.5761;0.3668;2.1829;9.5536;0.2823;0.1393;0.0085;5.0E-4;0.0159;0.0751;730.0;124.08;40.69;-52.65;292.0;-12.63;-1.8;8.0;993.94;62.416;44.567577;-123.2747;125.23;NaN;;2.59;6.068;296.2;12 / 21;13520;2018-03-07 17:31:29:977
0.189;1.9454;9.454;0.3509;2.246;9.5395;-0.3022;-0.405;-0.0538;0.0015;-2.0E-4;-4.0E-4;730.0;124.47;40.4;-52.96;291.67;-13.24;-2.11;8.0;993.93;62.416;44.567577;-123.2747;125.11;NaN;;1.66;6.068;296.1;12 / 21;14020;2018-03-07 17:31:30:477
-0.0215;2.077;9.6598;0.2113;2.1813;9.5586;-0.2221;-0.0995;-0.0273;-0.0013;0.0024;-0.0118;730.0;125.71;38.93;-48.89;290.7;-13.09;-1.82;8.0;993.94;62.416;44.567577;-123.2747;125.11;NaN;;1.66;6.068;296.1;12 / 21;14520;2018-03-07 17:31:30:977
-0.1268;2.2564;9.612;0.0228;2.1204;9.5746;-0.1631;-0.0302;0.002;0.0021;0.002;-0.0091;730.0;125.63;38.55;-47.11;290.86;-12.63;-0.67;8.0;993.93;62.416;44.567577;-123.2747;124.5;NaN;;0.0;6.068;;12 / 21;15019;2018-03-07 17:31:31:476
-0.3637;2.5627;9.6574;-0.1099;2.3216;9.5272;-0.2479;0.2356;-0.0748;3.0E-4;0.0104;0.0214;729.0;125.18;38.34;-48.27;291.1;-13.25;0.3;8.0;993.93;62.416;44.567577;-123.2747;124.5;NaN;;0.0;6.068;;12 / 21;15519;2018-03-07 17:31:31:976
-0.7226;2.5149;9.7005;-0.4628;2.4553;9.483;-0.2564;0.0137;0.0171;-0.0025;0.0324;0.132;730.0;126.08;38.96;-47.64;292.37;-14.43;2.35;8.0;993.92;62.416;44.567577;-123.2747;124.5;NaN;;0.0;6.068;;12 / 21;16021;2018-03-07 17:31:32:478
-1.4357;2.3306;9.7316;-0.6997;2.5201;9.4515;-0.5363;-0.0608;-0.0298;-0.0076;0.07;0.278;734.0;127.23;39.18;-48.76;293.0;-14.87;3.81;8.0;993.93;62.416;44.567577;-123.2747;124.5;NaN;;0.0;6.068;;12 / 21;16520;2018-03-07 17:31:32:977
-0.9811;1.9908;9.655;-0.8291;2.4814;9.4512;-0.1377;-0.4366;0.0449;-0.0111;0.0784;0.4105;738.0;128.58;39.95;-49.55;293.57;-14.72;4.95;8.0;993.91;62.416;44.567577;-123.2747;125.0;NaN;;4.07;6.068;12.5;12 / 21;17020;2018-03-07 17:31:33:477
-1.3567;1.7252;9.545;-0.7902;2.5133;9.4461;-0.5224;-0.8533;-0.0685;-0.0193;0.0957;0.4848;745.0;131.65;40.65;-47.21;293.2;-14.85;5.01;8.0;993.92;62.416;44.567577;-123.2747;125.0;NaN;;4.07;6.068;12.5;12 / 21;17519;2018-03-07 17:31:33:976
-1.1127;1.1342;9.9302;-0.7243;2.4407;9.4704;-0.6002;-1.1698;0.215;-0.0284;0.1012;0.5107;755.0;137.12;39.92;-47.78;291.83;-14.41;4.37;8.0;993.92;62.416;44.567577;-123.2747;125.04;NaN;;7.24;6.068;349.0;12 / 21;18019;2018-03-07 17:31:34:476
-1.1318;0.9093;9.8752;-0.86;1.8032;9.601;-0.2102;-0.7912;0.0822;-0.0229;0.1026;0.4938;765.0;141.65;37.93;-47.91;289.75;-11.8;4.74;8.0;993.93;62.416;44.567577;-123.2747;125.04;NaN;;7.24;6.068;349.0;12 / 21;18519;2018-03-07 17:31:34:976
-1.3472;1.4357;9.7388;-1.0537;1.5655;9.6234;-0.1773;-0.2174;-0.1943;-0.0019;0.1252;0.4993;777.0;144.92;35.31;-51.4;288.05;-9.19;6.25;8.0;993.92;62.416;44.567577;-123.2747;124.69;NaN;;8.46;6.068;321.4;12 / 21;19020;2018-03-07 17:31:35:477
-1.5386;1.2993;9.8177;-1.2325;1.8568;9.5501;-0.2815;-0.6044;-0.1403;-3.0E-4;0.0969;0.5358;781.0;147.52;33.35;-53.01;288.03;-10.59;7.34;8.0;993.92;62.416;44.567577;-123.2747;124.69;NaN;;8.46;6.068;321.4;12 / 21;19519;2018-03-07 17:31:35:976
-0.2704;1.1916;9.667;-1.0385;2.0322;9.5374;0.7182;-0.6959;0.0923;0.0021;0.07;0.4468;783.0;147.38;29.07;-54.92;287.05;-11.96;6.21;8.0;993.91;62.416;44.567577;-123.2747;124.85;NaN;;8.86;6.068;293.0;12 / 21;20019;2018-03-07 17:31:36:476
0.012;1.4692;9.7029;-0.6933;1.934;9.589;0.6481;-0.433;-0.0379;-0.0129;0.0495;0.3509;785.0;149.09;24.94;-54.45;284.52;-11.36;4.43;8.0;993.9;62.416;44.567577;-123.2747;124.85;NaN;;8.86;6.068;293.0;12 / 21;20520;2018-03-07 17:31:36:977
0.1771;1.6439;9.4875;-0.491;1.8371;9.6205;0.6271;-0.2964;-0.1989;-0.0093;0.0261;0.2566;783.0;147.94;22.96;-55.19;283.31;-10.8;2.92;8.0;993.92;62.416;44.567577;-123.2747;124.51;NaN;;8.68;6.068;270.1;12 / 21;21019;2018-03-07 17:31:37:476
-0.0048;1.4596;9.8632;-0.3154;1.6863;9.6554;0.2558;-0.167;0.1026;-0.0227;0.0338;0.2063;782.0;147.21;22.42;-57.84;282.76;-10.15;2.06;8.0;993.91;62.416;44.567577;-123.2747;124.51;NaN;;8.68;6.068;270.1;12 / 21;21519;2018-03-07 17:31:37:976
0.3111;1.5864;9.7507;-0.1383;1.606;9.6733;0.3214;-0.0201;-0.0395;-0.0085;0.0199;0.1423;780.0;146.06;21.03;-58.13;281.89;-9.43;0.82;8.0;993.92;62.416;44.567577;-123.2747;124.31;NaN;;7.92;6.068;261.1;12 / 21;22020;2018-03-07 17:31:38:477
0.2752;1.5697;9.6742;0.0664;1.5474;9.6836;0.2544;0.032;-0.0693;-9.0E-4;0.0073;0.0863;779.0;146.61;21.67;-58.22;281.79;-9.07;-0.32;8.0;993.92;62.416;44.567577;-123.2747;124.31;NaN;;7.92;6.068;261.1;12 / 21;22519;2018-03-07 17:31:38:976
0.3183;1.651;9.5522;0.1437;1.5558;9.6814;0.2093;0.0635;-0.3317;0.0031;0.0067;0.0542;777.0;145.51;20.82;-58.88;281.45;-9.13;-0.85;8.0;993.92;62.416;44.567577;-123.2747;124.21;NaN;;8.06;6.068;256.8;12 / 21;23019;2018-03-07 17:31:39:476
0.6772;1.596;10.1767;0.1927;1.5339;9.684;0.5209;-0.0067;0.1497;-0.0058;0.0116;-0.0038;777.0;145.18;20.7;-59.08;281.45;-9.04;-1.05;8.0;993.92;62.416;44.567577;-123.2747;124.21;NaN;;8.06;6.068;256.8;12 / 21;23520;2018-03-07 17:31:39:977
0.457;1.6702;9.9828;0.244;1.5072;9.6871;0.0444;0.1567;0.517;-0.0079;-0.0181;-0.0448;776.0;146.83;20.76;-61.14;281.29;-8.87;-1.35;8.0;993.92;62.416;44.567577;-123.2747;124.29;NaN;;8.53;6.068;257.6;12 / 21;24019;2018-03-07 17:31:40:476
-0.3637;1.5386;9.7292;0.1286;1.4622;9.6962;-0.5418;-0.0209;0.0334;-0.0178;0.0309;0.0145;773.0;147.16;19.98;-61.74;281.32;-8.66;-1.11;8.0;993.93;62.416;44.567577;-123.2747;124.29;NaN;;8.53;6.068;257.6;12 / 21;24519;2018-03-07 17:31:40:976
0.1125;0.8901;9.9805;0.0819;1.327;9.7161;-0.0433;-0.1882;0.1036;-0.0085;0.0204;0.0379;770.0;146.31;19.28;-58.32;280.26;-7.78;-0.48;8.0;993.94;62.416;44.567577;-123.2747;124.39;NaN;;9.11;6.068;261.9;12 / 21;25020;2018-03-07 17:31:41:477
0.1316;0.4762;10.124;0.012;1.0265;9.7528;0.0522;-0.5043;0.0912;-0.0097;0.0143;0.0361;767.0;147.25;19.88;-57.58;280.31;-6.82;-0.04;8.0;993.96;62.416;44.567577;-123.2747;124.39;NaN;;9.11;6.068;261.9;12 / 21;25519;2018-03-07 17:31:41:976
0.0455;0.2249;10.2126;-0.0322;0.8305;9.7714;0.1373;-0.6289;0.3223;-0.0148;0.0116;0.0285;766.0;146.32;19.82;-57.24;279.65;-4.86;0.19;8.0;993.96;62.416;44.567577;-123.2747;124.36;NaN;;9.18;6.068;257.7;12 / 21;26019;2018-03-07 17:31:42:476
-0.1196;0.3159;10.0642;-0.0644;0.593;9.7885;-0.0414;-0.3273;0.2478;-0.0137;0.021;0.0179;764.0;147.0;20.28;-57.89;279.35;-4.09;0.33;8.0;993.98;62.416;44.567577;-123.2747;124.36;NaN;;9.18;6.068;257.7;12 / 21;26520;2018-03-07 17:31:42:977
-0.1795;0.1651;10.069;-0.1008;0.4491;9.7958;0.1073;-0.2829;0.2419;-0.0036;0.0118;0.0104;762.0;146.11;19.74;-57.8;278.9;-2.71;0.51;8.0;993.99;62.416;44.567577;-123.2747;124.38;NaN;;6.66;6.068;257.6;12 / 21;27019;2018-03-07 17:31:43:476
-0.1938;0.079;10.1001;-0.0907;0.3381;9.8004;-0.0619;-0.2578;0.0622;-0.004;0.0073;0.0059;762.0;146.24;19.58;-57.88;278.78;-2.38;0.56;8.0;994.0;62.416;44.567577;-123.2747;124.38;NaN;;6.66;6.068;257.6;12 / 21;27520;2018-03-07 17:31:43:977
-0.0814;0.0455;10.1025;-0.0486;0.169;9.8051;-0.0247;-0.0955;0.0736;-5.0E-4;0.003;0.0029;761.0;146.91;20.26;-59.77;278.16;-0.99;0.28;8.0;994.0;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;28019;2018-03-07 17:31:44:476
-0.1053;1.2467;9.8776;-0.0563;0.2811;9.8025;-0.0812;0.819;0.032;0.005;0.0;0.0013;760.0;146.74;20.51;-59.62;278.69;-1.35;0.3;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;28520;2018-03-07 17:31:44:977
-0.0383;0.9811;9.9278;-0.0628;0.6022;9.7879;0.0182;0.3558;-0.0374;-1.0E-4;-6.0E-4;0.0;760.0;146.65;20.08;-59.9;279.18;-3.52;0.37;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;29020;2018-03-07 17:31:45:477
-0.079;1.048;9.9111;-0.061;0.8754;9.7673;0.0023;0.1791;-0.0275;5.0E-4;0.001;-2.0E-4;759.0;146.23;19.89;-60.13;279.88;-5.12;0.36;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;29520;2018-03-07 17:31:45:977
-0.0885;1.0792;9.8632;-0.0674;0.9951;9.7558;-0.0225;0.0682;-0.0102;3.0E-4;0.001;4.0E-4;759.0;146.15;21.09;-60.15;280.49;-5.72;0.36;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;30020;2018-03-07 17:31:46:477
-0.079;1.0504;9.8704;-0.0674;1.0264;9.7526;-0.0041;0.0237;-0.0097;-3.0E-4;-4.0E-4;6.0E-4;758.0;146.63;20.58;-59.27;280.49;-5.99;0.37;8.0;993.98;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;30521;2018-03-07 17:31:46:978
-0.0885;1.0624;9.8656;-0.068;1.0387;9.7512;-0.0104;0.0095;3.0E-4;3.0E-4;0.0;4.0E-4;757.0;147.23;20.68;-58.06;280.49;-6.08;0.4;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;31020;2018-03-07 17:31:47:477
-0.0574;1.0504;9.8704;-0.0621;1.0461;9.7505;-0.0049;0.0181;0.0074;-1.0E-4;2.0E-4;2.0E-4;758.0;146.82;20.56;-56.26;280.41;-6.11;0.35;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;31519;2018-03-07 17:31:47:976
-0.0694;1.0648;9.8584;-0.0597;1.0465;9.7505;0.0055;0.003;0.0049;1.0E-4;-4.0E-4;0.0;756.0;146.28;20.59;-49.96;280.24;-6.13;0.35;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;32021;2018-03-07 17:31:48:478
-0.0574;1.0504;9.8632;-0.0566;1.0476;9.7504;-0.0018;-0.0059;5.0E-4;3.0E-4;0.0;2.0E-4;755.0;145.85;20.37;-50.14;279.86;-6.13;0.35;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;32520;2018-03-07 17:31:48:977
-0.0766;1.0528;9.856;-0.059;1.0464;9.7505;-0.0165;-0.0084;-0.0081;1.0E-4;-4.0E-4;2.0E-4;756.0;145.65;21.12;-51.82;280.32;-6.14;0.33;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;33019;2018-03-07 17:31:49:476
-0.0694;1.06;9.8584;-0.059;1.0472;9.7504;-0.0132;0.004;-0.0031;-3.0E-4;-0.0012;6.0E-4;755.0;146.05;20.9;-51.18;280.28;-6.13;0.34;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;33520;2018-03-07 17:31:49:977
-0.0263;1.0576;9.8465;-0.0581;1.0494;9.7502;0.0222;0.0041;-0.0121;-7.0E-4;-6.0E-4;-2.0E-4;754.0;146.05;21.08;-51.0;280.28;-6.14;0.34;8.0;993.98;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;34019;2018-03-07 17:31:50:476
-0.0431;1.0624;9.868;-0.0569;1.0474;9.7504;0.0165;0.002;0.0019;-7.0E-4;0.0;8.0E-4;754.0;144.96;20.19;-50.56;279.97;-6.14;0.37;8.0;993.98;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;34520;2018-03-07 17:31:50:977
-0.122;0.9165;9.9015;0.027;1.0134;9.7541;0.2599;0.1666;0.0211;-0.0539;-0.0474;0.4358;754.0;145.98;20.78;-49.53;280.09;-5.93;-0.16;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;35019;2018-03-07 17:31:51:476
0.5575;0.7705;9.9757;0.4533;0.8027;9.7632;0.3558;0.0567;0.0156;-0.0323;0.0674;1.3682;754.0;149.87;6.91;-25.0;273.33;-5.27;-2.04;8.0;994.04;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;35520;2018-03-07 17:31:51:977
1.3208;0.7155;9.8871;0.8763;0.4638;9.7564;1.0779;-0.705;-0.0731;-0.0011;0.0065;0.1403;745.0;127.72;-16.59;23.37;261.47;-3.15;-4.88;8.0;993.93;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;36020;2018-03-07 17:31:52:477
1.1701;-0.0263;9.88;0.8589;0.0086;9.769;1.7418;-0.7752;0.0544;-0.0036;-0.0065;0.335;722.0;109.73;-19.19;31.53;259.6;-0.87;-4.83;8.0;993.98;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;36519;2018-03-07 17:31:52:976
1.1844;-0.2201;9.8752;0.9728;-0.1181;9.7576;0.1627;-0.0726;0.0104;5.0E-4;0.002;0.0011;712.0;101.43;-14.31;41.22;262.1;0.69;-5.69;8.0;994.0;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;37019;2018-03-07 17:31:53:476
1.2156;0.0359;9.8106;1.1315;0.1063;9.7406;-0.1901;0.0969;-0.0223;0.0143;-0.0637;-0.2527;718.0;102.33;-15.0;38.99;261.32;0.2;-6.3;8.0;993.98;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;37520;2018-03-07 17:31:53:977
1.2754;0.3326;10.1169;0.8964;0.7451;9.7371;0.7679;-0.9357;-0.1651;-0.1025;0.2278;-2.6078;742.0;122.59;-18.53;25.93;259.73;-4.36;-5.26;8.0;993.97;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;38020;2018-03-07 17:31:54:477
-0.28;1.4548;9.8393;0.0966;1.3225;9.7166;0.088;0.4223;0.0638;0.0089;-0.0106;-0.6719;750.0;146.88;16.37;-41.31;277.96;-7.56;-1.61;8.0;994.03;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;38521;2018-03-07 17:31:54:978
-0.1651;1.0648;9.9182;-0.0569;1.231;9.7289;-0.0868;-0.2333;0.0248;-3.0E-4;0.0;-2.0E-4;749.0;125.31;29.77;-75.38;287.62;-7.52;0.21;8.0;993.99;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;39022;2018-03-07 17:31:55:479
-0.4786;0.9404;9.8752;-0.3855;1.139;9.7326;-0.1337;-0.2021;0.0023;0.0093;0.0185;-0.0313;743.0;117.25;30.33;-79.66;289.17;-6.67;2.15;8.0;993.94;62.416;44.567577;-123.2747;124.4;NaN;;3.28;6.068;254.9;12 / 21;39519;2018-03-07 17:31:55:976
