sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0766;1.8066;9.7914;-0.0849;1.7739;9.6445;0.012;0.0015;-0.0056;0.0014;0.001;-8.0E-4;733.0;118.68;32.46;-47.41;288.72;-10.42;0.53;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;20;2018-03-07 17:31:16:477
-0.0885;1.797;9.7843;-0.086;1.7737;9.6445;-0.0097;0.008;0.0103;0.001;6.0E-4;-2.0E-4;733.0;119.65;32.31;-45.83;288.48;-10.41;0.5;8.0;993.92;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;520;2018-03-07 17:31:16:977
-0.0718;1.7874;9.7986;-0.0837;1.7726;9.6447;0.0071;-0.0074;-5.0E-4;8.0E-4;0.0014;-6.0E-4;732.0;120.61;32.08;-45.2;288.26;-10.42;0.5;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;1020;2018-03-07 17:31:17:477
-0.0909;1.7994;9.7867;-0.0833;1.7732;9.6447;-0.0055;-0.0031;0.0041;3.0E-4;6.0E-4;-4.0E-4;733.0;119.13;32.73;-48.44;289.21;-10.41;0.49;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;1520;2018-03-07 17:31:17:977
-0.0861;1.8042;9.7914;-0.0818;1.77;9.6452;0.0013;-2.0E-4;0.0015;-1.0E-4;6.0E-4;0.0;731.0;118.67;32.79;-48.35;289.21;-10.41;0.49;8.0;993.96;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;2020;2018-03-07 17:31:18:477
-0.0694;1.7874;9.801;-0.0836;1.7666;9.6458;-0.0031;-0.0082;-0.0041;5.0E-4;4.0E-4;-6.0E-4;730.0;117.87;32.79;-48.52;289.43;-10.39;0.49;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;2520;2018-03-07 17:31:18:977
-0.0622;1.8042;9.7986;-0.0818;1.7701;9.6452;0.0188;-9.0E-4;4.0E-4;-1.0E-4;0.0;-4.0E-4;730.0;118.25;32.95;-48.26;289.35;-10.38;0.51;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;3019;2018-03-07 17:31:19:476
-0.0431;1.7898;9.7843;-0.079;1.769;9.6455;0.0207;-0.0065;-0.012;3.0E-4;8.0E-4;-4.0E-4;730.0;118.39;32.52;-48.09;289.35;-10.39;0.47;8.0;993.94;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;3519;2018-03-07 17:31:19:976
-0.0885;1.7922;9.7651;-0.0833;1.7679;9.6456;-0.0142;-0.013;0.0249;-5.0E-4;0.0012;0.0;730.0;119.18;32.58;-48.53;289.28;-10.4;0.49;8.0;993.92;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;4020;2018-03-07 17:31:20:477
-0.079;1.7611;9.7914;-0.0865;1.7695;9.6453;0.0072;-0.0223;-0.001;3.0E-4;2.0E-4;0.0;730.0;118.47;32.6;-51.14;289.6;-10.41;0.49;8.0;993.93;62.416;44.567577;-123.2747;125.26;NaN;;0.0;6.068;;12 / 21;4519;2018-03-07 17:31:20:976
